Age,Salary,Gender,Department,Experience,Purchased,City,Performance_Score,Joining_Year,Bonus,Working_Hours
25,35000,Male,IT,2,No,Lucknow,78,2022,5000,40
32,52000,Female,HR,5,Yes,Delhi,85,2019,8000,42
NaN,48000,Male,IT,4,Yes,Kanpur,72,2020,6000,40
41,NaN,Female,Sales,8,No,Agra,90,2017,12000,45
29,42000,Male,HR,3,Yes,Lucknow,81,2021,7000,41
36,65000,Female,IT,7,Yes,Delhi,88,2018,10000,43
22,28000,Male,Sales,1,No,Kanpur,65,2024,3000,38
45,75000,Female,IT,12,Yes,Agra,95,2014,15000,46
31,47000,Male,HR,4,No,Lucknow,76,2020,5500,40
38,59000,Female,Sales,9,Yes,Delhi,84,2016,9000,44
27,39000,Male,IT,2,No,Kanpur,70,2023,4000,39
NaN,61000,Female,HR,6,Yes,Agra,87,2019,NaN,42
34,53000,Male,Sales,5,No,Lucknow,79,2020,6500,41
50,82000,Female,IT,15,Yes,Delhi,97,2011,18000,48
24,31000,Male,HR,1,No,Kanpur,62,2024,2500,37
29,45000,Female,Sales,3,Yes,Agra,80,2022,NaN,40
37,NaN,Male,IT,8,Yes,Lucknow,89,2017,11000,43
43,68000,Female,HR,10,No,Delhi,91,2015,13000,45
26,36000,Male,Sales,2,No,Kanpur,68,2023,3500,39
33,51000,Female,IT,5,Yes,Agra,83,2020,7000,41
28,40000,Male,HR,3,No,Lucknow,74,2022,4500,40
39,63000,Female,Sales,9,Yes,Delhi,86,2016,9500,44
46,72000,Male,IT,13,Yes,Kanpur,93,2013,14000,47
30,NaN,Female,HR,4,Yes,Agra,82,2021,6000,42
35,55000,Male,Sales,6,No,Lucknow,77,2019,7500,41
21,25000,Female,IT,1,No,Delhi,60,2025,2000,36
42,69000,Male,HR,11,Yes,Kanpur,92,2014,12500,46
31,49000,Female,Sales,4,Yes,Agra,79,2021,6500,40
48,80000,Male,IT,14,Yes,Lucknow,96,2012,17000,47
27,37000,Female,HR,2,No,Delhi,69,2023,3500,39
39,63000,Female,Sales,9,Yes,Delhi,86,2016,9500,44
35,55000,Male,Sales,6,No,Lucknow,77,2019,7500,41
